time,trade_price,trade_volume,ask,bid
93632040,22500,1000,2200092,2170039
93632040,22500,100,2200092,2171914
93632040,22500,1000,2200092,2173493
93632040,22500,6700,2200092,2185349
93633100,22600,1100,921805,2203037
93633640,22500,100,2204683,2185349
93633640,22500,800,2204685,2185349
93633640,22500,100,2204685,2199454
93633640,22500,300,2204690,2199454
93633650,22500,100,2204698,2199454
93634070,22500,2500,2206288,2199454
93634070,22500,2500,2206288,2200510
93634250,22500,100,2206927,2200510
93635160,22500,400,2209763,2200510
93635160,22500,3000,2209763,2202058
93643860,22500,500,2209763,2236562
93644410,22500,1200,2209763,2237933
93647790,22500,1000,2209763,2247452
93654180,22400,800,2265017,77506
93654180,22400,8900,2265017,105989
93654180,22400,300,2265017,166143
93655330,22500,1100,2209763,2268656
93656000,22500,10000,2209763,2270719
93706220,22500,1100,2209763,2299587
93712380,22500,39100,2209763,2316167
93712380,22500,3200,2210414,2316167
93712380,22500,5000,2223510,2316167
93712380,22500,2700,2235317,2316167
93714100,22500,25200,2235317,2321377
93714530,22500,26000,2235317,2322483
93715000,22500,20000,2235317,2323730
93715380,22500,1300,2235317,2324791
93715380,22500,1700,2293976,2324791
93715670,22500,1100,2293976,2325556
93715670,22500,2000,2307020,2325556
93717000,22500,3000,2329622,2325556
93717000,22500,2000,2329622,2326044
93723700,22500,1000,2347953,2326044
93723700,22500,1200,2347953,2330894
93723700,22500,2700,2347953,2337298
93728620,22600,1100,921805,2361685
93730150,22500,3800,2365461,2337298
93730150,22500,100,2365461,2341834
93730150,22500,10000,2365461,2353915
93730150,22500,2200,2365461,2361455
93730440,22500,4600,2365461,2366271
93731580,22500,4700,2365461,2369982
93731580,22500,1400,2369536,2369982
93732570,22500,3000,2369536,2372307
93732580,22500,3100,2369536,2372335
93733380,22500,1000,2372518,2374124
93733660,22500,1000,2372518,2374886
93736280,22500,600,2381384,2374886
93736280,22500,500,2381384,2375307
93739290,22600,1100,921805,2388892
93739400,22500,500,2389202,2375307
93739880,22600,9000,921805,2390324
93742820,22500,4600,2398101,2381601
93742820,22500,1300,2398101,2385453
93745170,22500,700,2403798,2385453
93745260,22500,1700,2403798,2404029
93745600,22500,100,2403798,2404787
93747100,22500,800,2403798,2409249
93747340,22500,400,2403798,2409735
93748660,22500,300,2403798,2413006
93748760,22500,100,2403798,2413243
93801630,22600,1000,921805,2446246
93807340,22500,100,2461798,2413243
93807340,22500,500,2461798,2418984
93807750,22500,600,2462836,2418984
93807750,22500,200,2462836,2456062
93809650,22500,2000,2462836,2467054
93809760,22500,600,2462836,2467337
93809760,22500,5700,2466331,2467337
93810740,22500,4300,2466331,2470171
93810740,22500,700,2469904,2470171
93811730,22500,4600,2469904,2472212
93812450,22500,200,2469904,2474008
93812970,22500,100,2469904,2475480
93813620,22500,200,2469904,2477610
93816560,22600,10000,921805,2484861
93817270,22500,900,2486656,2477610
93817270,22500,100,2486656,2477849
93817270,22500,2100,2486656,2479328
93817270,22500,500,2486656,2485676
93817370,22500,11200,2486656,2486869
93818910,22500,5600,2486656,2490784
93819900,22500,2800,2486656,2493208
93820260,22500,1600,2486656,2494106
93820270,22500,300,2486656,2494134
93820270,22500,900,2486656,2494143
93821180,22500,700,2496161,2494143
93821180,22400,400,2496161,166143
93824470,22600,1100,921805,2504266
93826300,22500,200,2508872,2496680
93832980,22500,100,2523565,2500957
93832980,22500,100,2523565,2518152
93832980,22400,900,2523565,166143
93839230,22500,1100,2537572,2528940
93839230,22400,400,2537572,166143
93839230,22400,500,2537572,166389
93842790,22500,100,2546160,2542240
93845660,22500,100,2552806,2549582
93846090,22500,200,2553963,2549582
93846630,22500,200,2555377,2549582
93846900,22500,1000,2555377,2555960
93850520,22500,1600,2555377,2563974
93851420,22500,2000,2555377,2565898
93857680,22500,1100,2555377,2580450
93857840,22500,100,2555377,2580770
93908230,22500,1100,2555377,2605200
93910980,22400,500,2611322,166389
93919480,22500,1100,2555377,2633933
93921710,22500,27800,2555377,2640599
93921710,22500,300,2557122,2640599
93921710,22500,7300,2562152,2640599
93921710,22500,12800,2567908,2640599
93929290,22500,2000,2567908,2665303
93930510,22500,1100,2567908,2668369
93935290,22500,1100,2567908,2683156
93938710,22500,1600,2567908,2693024
93938720,22500,12400,2567908,2693050
93939630,22500,26100,2567908,2695019
93941770,22500,1100,2567908,2701172
93942000,22500,5000,2567908,2701712
93945110,22400,4000,2709651,166389
93945110,22400,24900,2709651,172898
93945330,22500,1100,2567908,2710123
93949670,22500,700,2567908,2720846
93949670,22500,500,2571083,2720846
93949670,22500,1400,2579354,2720846
93952730,22500,1000,2579354,2728179
93955270,22500,500,2579354,2734192
93956130,22500,500,2579354,2736556
93957470,22500,2600,2579354,2740115
93959890,22500,5000,2579354,2747334
94001760,22500,3000,2579354,2755036
94001760,22500,500,2629717,2755036
94001760,22500,1500,2682905,2755036
94002000,22500,3200,2682905,2755645
94002000,22500,4800,2700761,2755645
94002000,22500,2000,2732110,2755645
94003710,22500,2000,2732110,2760710
94005640,22500,2000,2767152,2760718
94005640,22500,1100,2767152,2761085
94005640,22400,10300,2767152,172898
94014390,22500,1000,2785738,2793520
94018440,22400,4800,2806235,172898
94018440,22400,900,2806235,177785
94019560,22400,1200,2811206,177785
94020790,22400,100,2814938,177785
94024350,22400,1200,2826058,177785
94025460,22500,1100,2785738,2830473
94026170,22500,7400,2785738,2832398
94026170,22500,2600,2801311,2832398
94030550,22400,1100,2843723,177785
94033060,22500,2200,2801311,2850780
94036550,22500,1100,2801311,2859342
94038360,22400,4100,2863970,177785
94038360,22400,2200,2863970,192986
94047520,22500,1200,2801311,2885196
94051620,22500,100,2801311,2895579
94052870,22500,23000,2801311,2899224
94055270,22500,1700,2801311,2905122
94055270,22500,24100,2861666,2905122
94055270,22500,3600,2885834,2905122
94058220,22500,1000,2885834,2912158
94100610,22500,200,2885834,2917731
94100630,22500,2300,2885834,2917787
94100910,22400,49800,2918578,192986
94100910,22400,40000,2918578,212448
94100910,22400,2500,2918578,215979
94100910,22400,1100,2918578,223137
94100910,22400,1300,2918578,239925
94102540,22500,5000,2885834,2922852
94103670,22500,800,2885834,2925233
94103680,22500,2100,2885834,2925258
94103680,22500,800,2924231,2925258
94103710,22500,200,2924231,2925327
94107720,22500,300,2934540,2925327
94109170,22600,1100,921805,2937556
94111770,22500,1500,2943537,2925327
94111770,22500,1000,2943537,2926447
94111770,22500,5000,2943537,2928091
94111770,22500,2100,2943537,2931691
94112780,22500,100,2945800,2931691
94112800,22500,1300,2945854,2931691
94114060,22500,5700,2948904,2931691
94114060,22500,100,2948904,2931755
94114060,22500,200,2948904,2931767
94114060,22500,2100,2948904,2931899
94114060,22500,9000,2948904,2935706
94114060,22500,100,2948904,2939004
94114060,22500,1600,2948904,2939172
94114060,22500,200,2948904,2941381
94116220,22400,39400,2953503,239925
94120170,22500,1200,2948904,2962398
94120220,22400,1900,2962495,239925
94127000,22500,1000,2948904,2978238
94131190,22500,1100,2948904,2989202
94134970,22400,2200,2997906,239925
94136800,22500,10000,2948904,3001792
94141140,22400,2000,3011648,239925
94142420,22500,1200,2948904,3013978
94142680,22400,16000,3014522,239925
94148220,22500,2000,2948904,3025927
94153570,22500,1000,2948904,3037297
94158040,22400,4100,3046702,239925
94158040,22400,4800,3046702,295706
94158040,22400,100,3046702,493113
94158040,22400,1000,3046702,509093
94202220,22500,4500,2948904,3056136
94203710,22500,400,2948904,3058991
94204570,22500,1000,2948904,3061287
94205940,22500,5000,2948904,3063848
94209780,22500,1000,2948904,3071972
94212570,22500,1600,2948904,3077793
94212570,22500,3500,2963225,3077793
94213550,22500,200,2963225,3080363
94215120,22500,1200,2963225,3083336
94220950,22500,4300,2963225,3095332
94226130,22500,1000,2963225,3106221
94226830,22500,10000,2963225,3107539
94235570,22400,4000,3124937,509093
94235570,22400,400,3124937,548999
94235570,22400,2200,3124937,560011
94235570,22400,300,3124937,594679
94235570,22400,4000,3124937,615593
94235570,22400,9100,3124937,620634
94236930,22500,5000,2963225,3127646
94237270,22500,1100,2963225,3128493
94248110,22500,1100,2963225,3149620
94250610,22400,900,3154948,620634
94250610,22400,100,3154948,628412
94250990,22400,1900,3155552,628412
94251820,22500,900,2963225,3157332
94259160,22500,1000,2963225,3172983
94300800,22400,800,3176222,628412
94305540,22400,1500,3186641,628412
94307630,22400,900,3191010,628412
94310320,22500,1100,2963225,3196062
94312260,22500,3000,2963225,3199806
94316100,22400,400,3207322,628412
94321270,22500,1000,2963225,3217202
94331180,22500,5000,2963225,3237629
94332290,22500,1000,2963225,3239953
94341390,22500,6000,2963225,3257983
94341500,22500,10600,2963225,3258173
94343210,22500,1200,2963225,3261641
94347760,22500,27000,2963225,3270932
94348610,22500,100,2963225,3272656
94354410,22500,1200,2963225,3284933
94359920,22500,3900,2963225,3296433
94405530,22500,1100,2963225,3309259
94414600,22500,2400,2963225,3327566
94416060,22500,1200,2963225,3330601
94419320,22500,4800,2963225,3337062
94421160,22500,200,2963225,3340120
94425410,22400,2800,3348755,628412
94427480,22500,1000,2963225,3352851
94429070,22400,900,3356331,628412
94432670,22500,30000,2963225,3362945
94434600,22500,2000,2963225,3366832
94438230,22500,1200,2963225,3374135
94441550,22500,900,2963225,3380435
94443840,22500,2700,2963225,3385161
94448070,22500,4900,2963225,3393014
94448070,22500,300,2998813,3393014
94448070,22500,200,3014464,3393014
94448070,22500,5000,3054533,3393014
94448070,22500,10000,3067259,3393014
94448070,22500,5900,3097447,3393014
94448070,22500,17200,3121585,3393014
94448070,22500,3000,3146980,3393014
94448070,22500,5000,3147827,3393014
94448070,22500,500,3167219,3393014
94448070,22500,200,3174618,3393014
94448070,22500,200,3209635,3393014
94448070,22500,2400,3232758,3393014
94448070,22500,25000,3235890,3393014
94448070,22500,700,3290813,3393014
94448070,22500,2400,3331831,3393014
94448640,22500,100,3331831,3394172
94448650,22500,100,3331831,3394179
94448660,22500,100,3331831,3394206
94448680,22500,200,3331831,3394265
94449340,22500,900,3331831,3395708
94449340,22500,100,3343060,3395708
94454630,22400,700,3405325,628412
94454630,22400,400,3405325,642790
94456620,22500,100,3343060,3410810
94458800,22500,100,3343060,3418291
94458800,22500,900,3370129,3418291
94500230,22500,1000,3370129,3422322
94500500,22500,100,3370129,3423284
94502330,22500,600,3370129,3430683
94502330,22500,4400,3397143,3430683
94504250,22500,100,3397143,3436466
94504250,22500,9900,3397323,3436466
94507370,22400,1100,3445827,642790
94512350,22500,1000,3397323,3458156
94521280,22400,1000,3480459,642790
94523400,22500,1100,3397323,3485700
94525830,22500,2400,3397323,3492034
94534410,22500,1100,3397323,3513709
94543590,22400,4000,3535982,642790
94543590,22400,6000,3535982,708007
94543590,22400,1000,3535982,833544
94543590,22400,2000,3535982,881652
94543590,22400,4100,3535982,1124317
94545280,22500,1000,3397323,3539357
94556370,22500,1000,3397323,3566289
94556850,22400,3700,3567298,1124317
94556850,22400,2300,3567298,1148718
94607530,22500,1000,3397323,3592828
94615740,22400,3600,3610875,1148718
