wind_code,date,time,bs_flag,trade_price,trade_volume,ask_order,bid_order,,,,,,,time,trade_price,trade_volume,ask,bid
000629.SZ,20200327,93241320,S,22500,10000,1397372,228207,,0,0,0,0,0,93241320,22500,10000,1397372,228207
000629.SZ,20200327,93241320,S,22500,9000,1397372,233821,,0,0,0,0,0,93241320,22500,9000,1397372,233821
000629.SZ,20200327,93241320,S,22500,11400,1397372,244353,,0,0,0,0,0,93241320,22500,11400,1397372,244353
000629.SZ,20200327,93241320,S,22500,5000,1397372,261967,,0,0,0,0,0,93241320,22500,5000,1397372,261967
000629.SZ,20200327,93241320,S,22500,12100,1397372,453795,,0,0,0,0,0,93241320,22500,12100,1397372,453795
000629.SZ,20200327,93241320,S,22500,11600,1397372,454230,,0,0,0,0,0,93241320,22500,11600,1397372,454230
000629.SZ,20200327,93241320,S,22500,300,1397372,470001,,0,0,0,0,0,93241320,22500,300,1397372,470001
000629.SZ,20200327,93241320,S,22500,2500,1397372,500602,,0,0,0,0,0,93241320,22500,2500,1397372,500602
000629.SZ,20200327,93241320,S,22500,10000,1397372,506582,,0,0,0,0,0,93241320,22500,10000,1397372,506582
000629.SZ,20200327,93241320,S,22500,2200,1397372,536648,,0,0,0,0,0,93241320,22500,2200,1397372,536648
000629.SZ,20200327,93241320,S,22500,1000,1397372,578296,,0,0,0,0,0,93241320,22500,1000,1397372,578296
000629.SZ,20200327,93241320,S,22500,700,1397372,597864,,0,0,0,0,0,93241320,22500,700,1397372,597864
000629.SZ,20200327,93241320,S,22500,3700,1397372,599427,,0,0,0,0,0,93241320,22500,3700,1397372,599427
000629.SZ,20200327,93241320,S,22500,2800,1397372,626172,,0,0,0,0,0,93241320,22500,2800,1397372,626172
