wind_code,date,time,index,function_code,order_kind,bs_flag,trade_price,trade_volume,ask_order,bid_order
000629.SZ,20200327,92500000,323196,0,0,B,22600,100,191618,226761
000629.SZ,20200327,92500000,323197,0,0,B,22600,7400,191618,227056
000629.SZ,20200327,92500000,323198,0,0,B,22600,20000,196585,227056
000629.SZ,20200327,92500000,323199,0,0,S,22600,7000,245766,227056
000629.SZ,20200327,92500000,323200,0,0,S,22600,100,246986,227056
000629.SZ,20200327,92500000,323201,0,0,S,22600,300,311775,227056
000629.SZ,20200327,93000080,373741,C,0,0,0,100,0,146066
000629.SZ,20200327,93000080,373744,C,0,0,0,100,0,237015
000629.SZ,20200327,93000080,373745,C,0,0,0,100,0,256676
000629.SZ,20200327,93000080,373746,C,0,0,0,100,0,280450
000629.SZ,20200327,93000080,373777,C,0,0,0,100,0,146065
000629.SZ,20200327,93000080,373778,C,0,0,0,100,0,237046
000629.SZ,20200327,93000080,373779,C,0,0,0,100,0,256683
000629.SZ,20200327,93000080,373780,C,0,0,0,100,0,280449
000629.SZ,20200327,93000080,373812,C,0,0,0,100,0,146059
000629.SZ,20200327,93000080,373814,C,0,0,0,100,0,237021
000629.SZ,20200327,93000080,373815,C,0,0,0,100,0,256679
000629.SZ,20200327,93000080,373816,C,0,0,0,100,0,280452
000629.SZ,20200327,93000080,374027,C,0,0,0,100,0,146058
000629.SZ,20200327,93000080,374029,C,0,0,0,100,0,237020
000629.SZ,20200327,93000080,374030,C,0,0,0,100,0,256678
000629.SZ,20200327,93000080,374031,C,0,0,0,100,0,280451
000629.SZ,20200327,93000170,382696,0,0,B,22700,3200,23771,382695
000629.SZ,20200327,93000170,382697,0,0,B,22700,1000,37372,382695
000629.SZ,20200327,93000170,382698,0,0,B,22700,14800,46084,382695
000629.SZ,20200327,93000170,382873,0,0,B,22700,2600,46084,382872
000629.SZ,20200327,93000170,382874,0,0,B,22700,5000,95168,382872
000629.SZ,20200327,93000170,382875,0,0,B,22700,2400,147955,382872
000629.SZ,20200327,93000200,385527,0,0,B,22700,1000,147955,385526
000629.SZ,20200327,93000200,385891,0,0,B,22700,5000,147955,385890
000629.SZ,20200327,93000260,392448,0,0,B,22700,15000,147955,392447
000629.SZ,20200327,93000270,393616,0,0,B,22700,5000,147955,393615
000629.SZ,20200327,93000360,401947,C,0,0,0,7100,0,290255
000629.SZ,20200327,93000430,406794,C,0,0,0,100,0,146544
000629.SZ,20200327,93000450,408403,C,0,0,0,100,0,256732
000629.SZ,20200327,93000450,408406,C,0,0,0,100,0,146056
000629.SZ,20200327,93000450,408416,C,0,0,0,100,0,237148
000629.SZ,20200327,93000450,408417,C,0,0,0,100,0,280515
000629.SZ,20200327,93000480,410458,C,0,0,0,100,0,236791
000629.SZ,20200327,93000480,410459,C,0,0,0,100,0,257467
000629.SZ,20200327,93000480,410460,C,0,0,0,100,0,283014
000629.SZ,20200327,93000490,410965,C,0,0,0,100,0,146057
000629.SZ,20200327,93000490,410988,C,0,0,0,100,0,237147
000629.SZ,20200327,93000490,410989,C,0,0,0,100,0,256733
000629.SZ,20200327,93000490,410990,C,0,0,0,100,0,280516
000629.SZ,20200327,93000530,413535,C,0,0,0,100,0,146053
000629.SZ,20200327,93000530,413545,C,0,0,0,100,0,238500
000629.SZ,20200327,93000530,413546,C,0,0,0,100,0,259441
000629.SZ,20200327,93000530,413547,C,0,0,0,100,0,281254
000629.SZ,20200327,93000530,413719,C,0,0,0,100,0,146055
000629.SZ,20200327,93000530,413730,C,0,0,0,100,0,238501
000629.SZ,20200327,93000530,413734,C,0,0,0,100,0,259445
000629.SZ,20200327,93000530,413735,C,0,0,0,100,0,281256
000629.SZ,20200327,93000670,423035,0,0,B,22700,1600,147955,423034
000629.SZ,20200327,93000670,423036,0,0,B,22700,2900,149434,423034
000629.SZ,20200327,93000670,423037,0,0,B,22700,500,156537,423034
000629.SZ,20200327,93000870,433934,0,0,B,22700,200,156537,433933
000629.SZ,20200327,93001040,443200,0,0,S,22600,800,443199,227056
000629.SZ,20200327,93001060,444401,0,0,B,22700,9300,156537,444400
000629.SZ,20200327,93001060,444402,0,0,B,22700,1400,166689,444400
000629.SZ,20200327,93001060,444403,0,0,B,22700,11400,177574,444400
000629.SZ,20200327,93001370,458727,0,0,S,22600,1000,458726,227056
000629.SZ,20200327,93001450,463115,C,0,0,0,2000,0,261401
000629.SZ,20200327,93001470,464346,C,0,0,0,1000,57495,0
000629.SZ,20200327,93001560,469257,0,0,B,22700,10000,177574,469256
000629.SZ,20200327,93001580,470325,0,0,B,22700,700,177574,470324
000629.SZ,20200327,93001670,474546,0,0,S,22600,10000,474545,227056
000629.SZ,20200327,93001690,475378,C,0,0,0,12000,0,475357
000629.SZ,20200327,93001870,483732,0,0,B,22700,27900,177574,483731
000629.SZ,20200327,93001870,483733,0,0,B,22700,24200,181591,483731
000629.SZ,20200327,93001870,483734,0,0,B,22700,5000,210425,483731
000629.SZ,20200327,93001870,483735,0,0,B,22700,20000,219784,483731
000629.SZ,20200327,93001870,483736,0,0,B,22700,6500,245839,483731
000629.SZ,20200327,93002350,504363,C,0,0,0,7500,499936,0
000629.SZ,20200327,93002390,506076,0,0,S,22600,4000,506075,227056
000629.SZ,20200327,93002420,507832,0,0,B,22700,5000,245839,507831
000629.SZ,20200327,93002490,511004,C,0,0,0,5000,210919,0
000629.SZ,20200327,93002510,511731,C,0,0,0,24900,213627,0
000629.SZ,20200327,93002580,514759,0,0,B,22700,2000,245839,514758
000629.SZ,20200327,93002610,516012,0,0,B,22700,2000,245839,516011
000629.SZ,20200327,93002620,516361,0,0,S,22600,20000,516360,227056
000629.SZ,20200327,93002860,526579,0,0,B,22700,2000,245839,526578
000629.SZ,20200327,93003170,538202,0,0,S,22600,9900,538201,227056
000629.SZ,20200327,93003300,542423,0,0,B,22700,1500,245839,542422
000629.SZ,20200327,93004140,571206,C,0,0,0,5000,308028,0
000629.SZ,20200327,93004490,582199,0,0,S,22600,100,582198,227056
000629.SZ,20200327,93004500,582471,0,0,S,22600,100,582470,227056
000629.SZ,20200327,93005070,597809,0,0,B,22700,5000,245839,597808
000629.SZ,20200327,93005220,602106,C,0,0,0,1600,210601,0
000629.SZ,20200327,93005710,615540,0,0,S,22600,6700,615539,227056
000629.SZ,20200327,93005850,617992,C,0,0,0,21000,0,314983
000629.SZ,20200327,93005900,619166,C,0,0,0,22900,0,560803
000629.SZ,20200327,93005940,620251,0,0,B,22700,1000,245839,620250
000629.SZ,20200327,93006030,622170,0,0,S,22600,14000,622169,227056
000629.SZ,20200327,93006720,638169,0,0,S,22600,6700,638168,227056
000629.SZ,20200327,93008260,668397,C,0,0,0,3000,254458,0
000629.SZ,20200327,93008350,670133,0,0,S,22600,1300,670132,227056
000629.SZ,20200327,93008410,670911,C,0,0,0,62800,609053,0
000629.SZ,20200327,93008550,673315,C,0,0,0,3800,638688,0
000629.SZ,20200327,93009250,683018,C,0,0,0,91500,129859,0
000629.SZ,20200327,93009940,691137,C,0,0,0,2000,129648,0
000629.SZ,20200327,93009940,691138,C,0,0,0,2000,129667,0
000629.SZ,20200327,93010080,692582,0,0,S,22600,1200,692581,227056
