,time,order,order_kind,function_code,order_price,order_volume
1086,93005460,609053,0,S,22900,62800
1087,93005540,611406,0,B,22100,20000
1088,93005580,612199,0,B,22000,500
1089,93005600,612696,0,S,23000,1000
1090,93005600,612766,0,S,23300,1400
1091,93005630,613393,0,S,23200,10000
1092,93005710,615539,0,S,22600,6700
1093,93005710,615593,0,B,22400,4000
1094,93005910,619365,0,S,23500,3000
1095,93005940,620250,0,B,22700,1000
1096,93005950,620634,0,B,22400,10000
1097,93005950,620638,0,S,22700,100
1098,93005970,621109,0,S,23500,3000
1099,93005980,621351,0,S,24800,4500
1100,93006030,622169,0,S,22600,14000
1101,93006030,622275,0,S,23300,500
1102,93006110,624097,0,S,23200,10000
1103,93006120,624390,0,S,22700,2400
1104,93006130,624655,0,S,23600,1900
1105,93006170,625507,0,S,22700,400
1106,93006210,626172,0,B,22500,2800
1107,93006280,628100,0,B,22500,10300
1108,93006300,628384,0,S,22800,437900
1109,93006300,628412,0,B,22400,10000
1110,93006430,631607,0,S,22700,25500
1111,93006540,634370,0,S,23500,4400
1112,93006560,634829,0,S,23400,3000
1113,93006570,634941,0,S,22700,20000
1114,93006600,635523,0,S,22800,4500
1115,93006630,636263,0,S,23100,10000
1116,93006670,637087,0,S,24800,500
1117,93006720,638168,0,S,22600,6700
1118,93006740,638688,0,S,22700,3800
1119,93006760,639040,0,S,23900,500
1120,93006770,639144,0,B,22600,1000
1121,93006800,639985,0,S,23100,2200
1122,93006810,640141,0,S,24800,3600
1123,93006810,640151,0,S,22900,2000
1124,93006830,640666,0,S,23300,4400
1125,93006930,642790,0,B,22400,6500
1126,93006960,643527,0,S,22900,10000
1127,93007200,647784,0,B,22200,900
1128,93007200,647893,0,S,23100,5000
1129,93007220,648485,0,S,23500,50000
1130,93007400,652334,0,B,22600,10000
1131,93007410,652800,0,S,23800,1000
1132,93007420,652994,0,S,23100,10000
1133,93007520,654968,0,S,23900,1000
1134,93007580,656116,0,B,22300,20000
1135,93007580,656117,0,S,23000,10000
1136,93007770,659466,0,S,24400,100
1137,93007810,660312,0,B,22000,500
1138,93007980,663528,0,S,23900,1000
1139,93008020,664143,0,B,22600,100
1140,93008040,664408,0,S,23000,1000
1141,93008100,665305,0,B,20300,50000
1142,93008220,667663,0,B,22600,4200
1143,93008270,668441,0,B,22300,2000
1144,93008300,669207,0,S,23100,10000
1145,93008350,670132,0,S,22600,1300
1146,93008530,672744,0,S,22900,2500
1147,93008560,673446,0,S,24800,2600
1148,93008840,677036,0,B,22000,11500
1149,93008860,677252,0,S,23600,5000
1150,93008930,678332,0,S,23100,800
1151,93009020,679724,0,B,22600,400
1152,93009120,681282,0,S,22800,7000
1153,93009300,683752,0,B,21600,4200
1154,93009480,685882,0,B,21000,500
1155,93009600,687401,0,S,22800,49304
1156,93009800,689294,0,S,23200,28000
1157,93009870,690081,0,S,23000,10000
1158,93010080,692581,0,S,22600,7000
1159,93010230,694595,0,S,23900,2000
1160,93010280,695255,0,B,21500,3000
1161,93010290,695481,0,B,22200,6700
1162,93010370,696645,0,S,23000,52200
1163,93010440,697507,0,B,22700,1000
1164,93010860,701814,0,S,23100,20000
1165,93010990,702757,0,B,22600,2000
1166,93011050,703174,0,S,23200,600
